Hostname,Operating System,Build
ENGRWKHT97X2,Windows 10 Enterprise,19044
ENGRWKHZJZL02,Windows 10 Enterprise,19042
ENGRWKJ177X2,Windows 10 Enterprise,19044
ENGRWKJ8M7KQ2,Windows 10 Enterprise,19042
ENGRWKJBXMD2,Windows 10 Enterprise,19042
ENGRWKJG77X2,Windows 10 Enterprise,19044
ENGRWKJVDNC43,Windows 10 Enterprise,19044
ENGRWKJWC2BZ1,Windows 10 Pro,19042
ENGRWKK3P9T2,Windows 10 Enterprise,19044
ENGRWKK6R9T2,Windows 10 Enterprise,19041
ENGRWKK7V9T2,Windows 10 Enterprise,19042
ENGRWKKFP9T2,Windows 10 Enterprise,19044
ENGRWKM1M513,Windows 10 Enterprise,19043
ENGRWKMNHF42,Windows 10 Enterprise,19044
ENGRWKNCDRD2,Windows 10 Enterprise,19042
ENGRWKPQYDB2,Windows 10 Enterprise,19042
ENGRWKQD7PF3,Windows 10 Enterprise,19044
ENGRWKQQC8Y1,Windows 10 Enterprise,19044
ENGRWKVQ8F42,Windows 10 Enterprise,19044
ENGRWKWMPY12,Windows 10 Enterprise,19044
ENGRWKWSTQG2,Windows 10 Enterprise,19044
ENGRWKXWX9Z1,Windows 10 Enterprise,19041
ENGRWKZ8F3W2,Windows 10 Enterprise,19041
HRC3PNC42,Windows 10 Enterprise,19042
HRCLWR1C2,Windows 10 Enterprise,19044
HRFS001,Windows Server 2012 R2 Standard,9600
HRFS002,Windows Server 2019 Standard,17763
HRLT215457,Windows 10 Pro,19042
HRLT2846016,Windows 10 Pro,19043
HRLT2TK2Z93,Windows 10 Home,19042
HRLT3X0GW93,Windows 10 Home,19042
HRLT401PQG3,Windows 11,22000
HRLT5CD018VFP,Windows 10 Pro,19044
HRLT66G4063,Windows 10 Pro,19041
HRLT7FNZCL3,Windows 10 Pro,19042
HRLT7GR15S2,Windows 10 Pro,19044
HRLT82XH2H2,Windows 10 Pro,19043
HRLT8SCP0Z2,Windows 10 Enterprise,19042
HRLT9PPTP93,Windows 10 Pro,19042
HRLTB1V38C3,Windows 10 Pro,19042
HRLTCGHBMG3,Windows 10 Pro,19042
HRLTCZG1242,Windows 10 Enterprise,19044
HRLTD01758FD,Windows 10 Home,19042
HRLTDQTK4H2,Windows 10 Pro,19043
HRLTDSTX842,Windows 10 Pro,19043
HRLTFBB5R93,Windows 10 Pro,22000
HRLTG68RZ93,Windows 10 Pro,19042
HRLTG6Y69Y2,Windows 10 Pro,19043
HRLTGCQ84M2,Windows 10 Enterprise,19043
HRLTGMFJN12,Windows 10 Enterprise,19042
HRLTH02XP73,Windows 10 Pro,22000
HRLTIFL56GU,Windows 10 Home,19043
HRLTJ0STP93,Windows 10 Pro,19042
HRLTJNK2Z93,Windows 10 Enterprise,19042
HRLTMRQC9390,Windows 10 Pro,22000
HRLTPF203134,Windows 10 Pro,19041
HRLW30KPC42,Windows 10 Enterprise,19044
HRLWC3LNC42,Windows 10 Enterprise,19044
HRLWC3NNC42,Windows 10 Enterprise,19044
HRLWINST,Windows 10 Enterprise,19044
HRLWR1C1,Windows 10 Enterprise,19044
HRLWR1C3,Windows 10 Enterprise,19044
HRLWR1C4,Windows 10 Enterprise,19044
HRLWR1C5,Windows 10 Enterprise,19044
HRLWR1C6,Windows 10 Enterprise,19044
HRLWR1C7,Windows 10 Enterprise,19044
HRLWR2C1,Windows 10 Enterprise,19044
HRLWR2C2,Windows 10 Enterprise,19044
HRLWR2C3,Windows 10 Enterprise,19044
HRLWR2C4,Windows 10 Enterprise,19044
HRLWR2C5,Windows 10 Enterprise,19044
HRLWR2C6,Windows 10 Enterprise,19044
HRLWR2C7,Windows 10 Enterprise,19044
HRLWR3C1,Windows 10 Enterprise,19044
HRLWR3C2,Windows 10 Enterprise,19044
HRLWR3C3,Windows 10 Enterprise,19044
HRLWR3C4,Windows 10 Enterprise,19044
HRLWR3C5,Windows 10 Enterprise,19044
HRLWR3C7,Windows 10 Enterprise,19044
HRLWR4C1,Windows 10 Enterprise,19044
HRLWR4C2,Windows 10 Enterprise,19044
HRLWR4C3,Windows 10 Enterprise,19044
HRLWR4C4,Windows 10 Enterprise,19043
HRLWR4C5,Windows 10 Enterprise,19044
HRLWR4C6,Windows 10 Enterprise,19044
HRLWR4C7,Windows 10 Enterprise,19044
HRPCGD801S2,Windows 10 Pro,19044
HRWK021724,Windows 10 Enterprise,19044
HRWK17679T2,Windows 10 Pro,19043
